Close Year,Date Stamp,Full Investigation,Number of Records (copy),Number of Records,Uniq Id
2006,5/12/17,Not Fully Investigated,1,1,300
2006,5/12/17,Not Fully Investigated,1,1,308
2006,5/12/17,Not Fully Investigated,1,1,309
2006,5/12/17,Not Fully Investigated,1,1,312
2006,5/12/17,Not Fully Investigated,1,1,313
2006,5/12/17,Not Fully Investigated,1,1,318
2006,5/12/17,Not Fully Investigated,1,1,326
2006,5/12/17,Not Fully Investigated,1,1,342
2006,5/12/17,Not Fully Investigated,1,1,353
2006,5/12/17,Not Fully Investigated,1,1,355
2006,5/12/17,Not Fully Investigated,1,1,357
2006,5/12/17,Not Fully Investigated,1,1,362
2006,5/12/17,Not Fully Investigated,1,1,363
2006,5/12/17,Not Fully Investigated,1,1,364
2006,5/12/17,Not Fully Investigated,1,1,367
2006,5/12/17,Not Fully Investigated,1,1,369
2006,5/12/17,Not Fully Investigated,1,1,372
2006,5/12/17,Not Fully Investigated,1,1,374
2006,5/12/17,Not Fully Investigated,1,1,375
2006,5/12/17,Not Fully Investigated,1,1,377
2006,5/12/17,Not Fully Investigated,1,1,378
2006,5/12/17,Not Fully Investigated,1,1,380
2006,5/12/17,Not Fully Investigated,1,1,381
2006,5/12/17,Not Fully Investigated,1,1,382
2006,5/12/17,Not Fully Investigated,1,1,384
2006,5/12/17,Not Fully Investigated,1,1,386
2006,5/12/17,Not Fully Investigated,1,1,387
2006,5/12/17,Not Fully Investigated,1,1,388
2006,5/12/17,Not Fully Investigated,1,1,390
2006,5/12/17,Not Fully Investigated,1,1,391
2006,5/12/17,Not Fully Investigated,1,1,392
2006,5/12/17,Not Fully Investigated,1,1,393
2006,5/12/17,Not Fully Investigated,1,1,395
2006,5/12/17,Not Fully Investigated,1,1,397
2006,5/12/17,Not Fully Investigated,1,1,398
2006,5/12/17,Not Fully Investigated,1,1,403
2006,5/12/17,Not Fully Investigated,1,1,404
2006,5/12/17,Not Fully Investigated,1,1,405
2006,5/12/17,Not Fully Investigated,1,1,406
2006,5/12/17,Not Fully Investigated,1,1,407
2006,5/12/17,Not Fully Investigated,1,1,408
2006,5/12/17,Not Fully Investigated,1,1,409
2006,5/12/17,Not Fully Investigated,1,1,411
2006,5/12/17,Not Fully Investigated,1,1,412
2006,5/12/17,Not Fully Investigated,1,1,414
2006,5/12/17,Not Fully Investigated,1,1,416
2006,5/12/17,Not Fully Investigated,1,1,417
2006,5/12/17,Not Fully Investigated,1,1,418
2006,5/12/17,Not Fully Investigated,1,1,420
2006,5/12/17,Not Fully Investigated,1,1,422
2006,5/12/17,Not Fully Investigated,1,1,423
2006,5/12/17,Not Fully Investigated,1,1,424
2006,5/12/17,Not Fully Investigated,1,1,428
2006,5/12/17,Not Fully Investigated,1,1,429
2006,5/12/17,Not Fully Investigated,1,1,431
2006,5/12/17,Not Fully Investigated,1,1,434
2006,5/12/17,Not Fully Investigated,1,1,435
2006,5/12/17,Not Fully Investigated,1,1,437
2006,5/12/17,Not Fully Investigated,1,1,438
2006,5/12/17,Not Fully Investigated,1,1,440
2006,5/12/17,Not Fully Investigated,1,1,441
2006,5/12/17,Not Fully Investigated,1,1,442
2006,5/12/17,Not Fully Investigated,1,1,446
2006,5/12/17,Not Fully Investigated,1,1,449
2006,5/12/17,Not Fully Investigated,1,1,450
2006,5/12/17,Not Fully Investigated,1,1,451
2006,5/12/17,Not Fully Investigated,1,1,455
2006,5/12/17,Not Fully Investigated,1,1,456
2006,5/12/17,Not Fully Investigated,1,1,459
2006,5/12/17,Not Fully Investigated,1,1,462
2006,5/12/17,Not Fully Investigated,1,1,465
2006,5/12/17,Not Fully Investigated,1,1,466
2006,5/12/17,Not Fully Investigated,1,1,469
2006,5/12/17,Not Fully Investigated,1,1,470
2006,5/12/17,Not Fully Investigated,1,1,471
2006,5/12/17,Not Fully Investigated,1,1,472
2006,5/12/17,Not Fully Investigated,1,1,473
2006,5/12/17,Not Fully Investigated,1,1,474
2006,5/12/17,Not Fully Investigated,1,1,475
2006,5/12/17,Not Fully Investigated,1,1,477
2006,5/12/17,Not Fully Investigated,1,1,478
2006,5/12/17,Not Fully Investigated,1,1,480
2006,5/12/17,Not Fully Investigated,1,1,482
2006,5/12/17,Not Fully Investigated,1,1,484
2006,5/12/17,Not Fully Investigated,1,1,485
2006,5/12/17,Not Fully Investigated,1,1,486
2006,5/12/17,Not Fully Investigated,1,1,487
2006,5/12/17,Not Fully Investigated,1,1,488
2006,5/12/17,Not Fully Investigated,1,1,489
2006,5/12/17,Not Fully Investigated,1,1,493
2006,5/12/17,Not Fully Investigated,1,1,495
2006,5/12/17,Not Fully Investigated,1,1,499
2006,5/12/17,Not Fully Investigated,1,1,500
2006,5/12/17,Not Fully Investigated,1,1,502
2006,5/12/17,Not Fully Investigated,1,1,504
2006,5/12/17,Not Fully Investigated,1,1,506
2006,5/12/17,Not Fully Investigated,1,1,508
2006,5/12/17,Not Fully Investigated,1,1,510
2006,5/12/17,Not Fully Investigated,1,1,512
2006,5/12/17,Not Fully Investigated,1,1,514
2006,5/12/17,Not Fully Investigated,1,1,516
2006,5/12/17,Not Fully Investigated,1,1,518
2006,5/12/17,Not Fully Investigated,1,1,519
2006,5/12/17,Not Fully Investigated,1,1,520
2006,5/12/17,Not Fully Investigated,1,1,521
2006,5/12/17,Not Fully Investigated,1,1,522
2006,5/12/17,Not Fully Investigated,1,1,523
2006,5/12/17,Not Fully Investigated,1,1,524
2006,5/12/17,Not Fully Investigated,1,1,525
2006,5/12/17,Not Fully Investigated,1,1,527
2006,5/12/17,Not Fully Investigated,1,1,528
2006,5/12/17,Not Fully Investigated,1,1,530
2006,5/12/17,Not Fully Investigated,1,1,531
2006,5/12/17,Not Fully Investigated,1,1,532
2006,5/12/17,Not Fully Investigated,1,1,533
2006,5/12/17,Not Fully Investigated,1,1,535
2006,5/12/17,Not Fully Investigated,1,1,536
2006,5/12/17,Not Fully Investigated,1,1,537
2006,5/12/17,Not Fully Investigated,1,1,538
2006,5/12/17,Not Fully Investigated,1,1,539
2006,5/12/17,Not Fully Investigated,1,1,540
2006,5/12/17,Not Fully Investigated,1,1,541
2006,5/12/17,Not Fully Investigated,1,1,542
2006,5/12/17,Not Fully Investigated,1,1,545
2006,5/12/17,Not Fully Investigated,1,1,546
2006,5/12/17,Not Fully Investigated,1,1,547
2006,5/12/17,Not Fully Investigated,1,1,549
2006,5/12/17,Not Fully Investigated,1,1,551
2006,5/12/17,Not Fully Investigated,1,1,552
2006,5/12/17,Not Fully Investigated,1,1,553
2006,5/12/17,Not Fully Investigated,1,1,554
2006,5/12/17,Not Fully Investigated,1,1,555
2006,5/12/17,Not Fully Investigated,1,1,557
2006,5/12/17,Not Fully Investigated,1,1,558
2006,5/12/17,Not Fully Investigated,1,1,561
2006,5/12/17,Not Fully Investigated,1,1,564
2006,5/12/17,Not Fully Investigated,1,1,566
2006,5/12/17,Not Fully Investigated,1,1,568
2006,5/12/17,Not Fully Investigated,1,1,569
2006,5/12/17,Not Fully Investigated,1,1,570
2006,5/12/17,Not Fully Investigated,1,1,571
2006,5/12/17,Not Fully Investigated,1,1,572
2006,5/12/17,Not Fully Investigated,1,1,573
2006,5/12/17,Not Fully Investigated,1,1,574
2006,5/12/17,Not Fully Investigated,1,1,575
2006,5/12/17,Not Fully Investigated,1,1,576
2006,5/12/17,Not Fully Investigated,1,1,577
2006,5/12/17,Not Fully Investigated,1,1,579
2006,5/12/17,Not Fully Investigated,1,1,581
2006,5/12/17,Not Fully Investigated,1,1,582
2006,5/12/17,Not Fully Investigated,1,1,583
2006,5/12/17,Not Fully Investigated,1,1,601
2006,5/12/17,Not Fully Investigated,1,1,606
2006,5/12/17,Not Fully Investigated,1,1,609
2006,5/12/17,Not Fully Investigated,1,1,616
2006,5/12/17,Not Fully Investigated,1,1,620
2006,5/12/17,Not Fully Investigated,1,1,624
2006,5/12/17,Not Fully Investigated,1,1,631
2006,5/12/17,Not Fully Investigated,1,1,639
2006,5/12/17,Not Fully Investigated,1,1,653
2006,5/12/17,Not Fully Investigated,1,1,662
2006,5/12/17,Not Fully Investigated,1,1,667
2006,5/12/17,Not Fully Investigated,1,1,670
2006,5/12/17,Not Fully Investigated,1,1,671
2006,5/12/17,Not Fully Investigated,1,1,680
2006,5/12/17,Not Fully Investigated,1,1,682
2006,5/12/17,Not Fully Investigated,1,1,694
2006,5/12/17,Not Fully Investigated,1,1,695
2006,5/12/17,Not Fully Investigated,1,1,697
2006,5/12/17,Not Fully Investigated,1,1,702
2006,5/12/17,Not Fully Investigated,1,1,704
2006,5/12/17,Not Fully Investigated,1,1,708
2006,5/12/17,Not Fully Investigated,1,1,712
2006,5/12/17,Not Fully Investigated,1,1,713
2006,5/12/17,Not Fully Investigated,1,1,714
2006,5/12/17,Not Fully Investigated,1,1,715
2006,5/12/17,Not Fully Investigated,1,1,716
2006,5/12/17,Not Fully Investigated,1,1,717
2006,5/12/17,Not Fully Investigated,1,1,718
2006,5/12/17,Not Fully Investigated,1,1,719
2006,5/12/17,Not Fully Investigated,1,1,721
2006,5/12/17,Not Fully Investigated,1,1,722
2006,5/12/17,Not Fully Investigated,1,1,723
2006,5/12/17,Not Fully Investigated,1,1,725
