Boro Desc,Boro Id,CCRB Received Year,DateStamp,Number of Records,Uniq Id
Bronx,3,2006,5/12/17,1,894
Bronx,3,2006,5/12/17,1,895
Bronx,3,2006,5/12/17,1,899
Bronx,3,2006,5/12/17,1,905
Bronx,3,2006,5/12/17,1,909
Bronx,3,2006,5/12/17,1,914
Bronx,3,2006,5/12/17,1,921
Bronx,3,2006,5/12/17,1,929
Bronx,3,2006,5/12/17,1,930
Bronx,3,2006,5/12/17,1,935
Bronx,3,2006,5/12/17,1,936
Bronx,3,2006,5/12/17,1,937
Bronx,3,2006,5/12/17,1,938
Bronx,3,2006,5/12/17,1,939
Bronx,3,2006,5/12/17,1,940
Bronx,3,2006,5/12/17,1,941
Bronx,3,2006,5/12/17,1,943
Bronx,3,2006,5/12/17,1,958
Bronx,3,2006,5/12/17,1,960
Bronx,3,2006,5/12/17,1,962
Bronx,3,2006,5/12/17,1,967
Bronx,3,2006,5/12/17,1,968
Bronx,3,2006,5/12/17,1,977
Bronx,3,2006,5/12/17,1,978
Bronx,3,2006,5/12/17,1,979
Bronx,3,2006,5/12/17,1,982
Bronx,3,2006,5/12/17,1,983
Bronx,3,2006,5/12/17,1,986
Bronx,3,2006,5/12/17,1,997
Bronx,3,2006,5/12/17,1,999
Bronx,3,2006,5/12/17,1,1002
Bronx,3,2006,5/12/17,1,1003
Bronx,3,2006,5/12/17,1,1007
Bronx,3,2006,5/12/17,1,1009
Bronx,3,2006,5/12/17,1,1012
Bronx,3,2006,5/12/17,1,1019
Bronx,3,2006,5/12/17,1,1023
Bronx,3,2006,5/12/17,1,1026
Bronx,3,2006,5/12/17,1,1028
Bronx,3,2006,5/12/17,1,1029
Bronx,3,2006,5/12/17,1,1031
Bronx,3,2006,5/12/17,1,1036
Bronx,3,2006,5/12/17,1,1037
Bronx,3,2006,5/12/17,1,1038
Bronx,3,2006,5/12/17,1,1042
Bronx,3,2006,5/12/17,1,1044
Bronx,3,2006,5/12/17,1,1048
Bronx,3,2006,5/12/17,1,1049
Bronx,3,2006,5/12/17,1,1054
Bronx,3,2006,5/12/17,1,1057
Bronx,3,2006,5/12/17,1,1059
Bronx,3,2006,5/12/17,1,1063
Bronx,3,2006,5/12/17,1,1066
Bronx,3,2006,5/12/17,1,1069
Bronx,3,2006,5/12/17,1,1070
Bronx,3,2006,5/12/17,1,1073
Bronx,3,2006,5/12/17,1,1074
Bronx,3,2006,5/12/17,1,1076
Bronx,3,2006,5/12/17,1,1081
Bronx,3,2006,5/12/17,1,1088
Bronx,3,2006,5/12/17,1,1090
Bronx,3,2006,5/12/17,1,1093
Bronx,3,2006,5/12/17,1,1099
Bronx,3,2006,5/12/17,1,1101
Bronx,3,2006,5/12/17,1,1104
Bronx,3,2006,5/12/17,1,1113
Bronx,3,2006,5/12/17,1,1117
Bronx,3,2006,5/12/17,1,1118
Bronx,3,2006,5/12/17,1,1119
Bronx,3,2006,5/12/17,1,1122
Bronx,3,2006,5/12/17,1,1124
Bronx,3,2006,5/12/17,1,1130
Bronx,3,2006,5/12/17,1,1141
Bronx,3,2006,5/12/17,1,1143
Bronx,3,2006,5/12/17,1,1149
Bronx,3,2006,5/12/17,1,1157
Bronx,3,2006,5/12/17,1,1158
Bronx,3,2006,5/12/17,1,1172
Bronx,3,2006,5/12/17,1,1177
Bronx,3,2006,5/12/17,1,1190
Bronx,3,2006,5/12/17,1,1194
Bronx,3,2006,5/12/17,1,1196
Bronx,3,2006,5/12/17,1,1197
Bronx,3,2006,5/12/17,1,1199
Bronx,3,2006,5/12/17,1,1203
Bronx,3,2006,5/12/17,1,1205
Bronx,3,2006,5/12/17,1,1206
Bronx,3,2006,5/12/17,1,1209
Bronx,3,2006,5/12/17,1,1213
Bronx,3,2006,5/12/17,1,1220
Bronx,3,2006,5/12/17,1,1222
Bronx,3,2006,5/12/17,1,1228
Bronx,3,2006,5/12/17,1,1233
Bronx,3,2006,5/12/17,1,1234
Bronx,3,2006,5/12/17,1,1235
Bronx,3,2006,5/12/17,1,1237
Bronx,3,2006,5/12/17,1,1241
Bronx,3,2006,5/12/17,1,1243
Bronx,3,2006,5/12/17,1,1248
Bronx,3,2006,5/12/17,1,1252
Bronx,3,2006,5/12/17,1,1253
Bronx,3,2006,5/12/17,1,1258
Bronx,3,2006,5/12/17,1,1261
Bronx,3,2006,5/12/17,1,1262
Bronx,3,2006,5/12/17,1,1271
Bronx,3,2006,5/12/17,1,1272
Bronx,3,2006,5/12/17,1,1278
Bronx,3,2006,5/12/17,1,1281
Bronx,3,2006,5/12/17,1,1287
Bronx,3,2006,5/12/17,1,1291
